step,datetime,corruption_index,dynasty_bonus,welfare,unrest,corr_mass,gov_mass,grv_mass,aggrieved_share,formula
10,2024-02-13 17:00:00,0.5944,0.0000,0.4853,0.0000,842.4,574.7,0.0,0.0000,mem2
20,2024-02-14 03:00:00,0.5958,0.0000,0.4847,0.0008,1067.6,678.1,29.7,0.0080,mem2
30,2024-02-14 13:00:00,0.5928,0.0000,0.4846,0.0015,1177.6,933.2,28.5,0.0080,mem2
40,2024-02-14 23:00:00,0.5867,0.0000,0.4847,0.0026,1359.3,1269.1,43.9,0.0120,mem2
50,2024-02-15 09:00:00,0.5463,0.0000,0.5009,0.0253,6067.9,68819.1,1315.6,0.2300,mem2
60,2024-02-15 19:00:00,0.5090,0.0000,0.5160,0.0466,6258.2,71532.9,1314.0,0.2380,mem2
70,2024-02-16 05:00:00,0.4748,0.0000,0.5299,0.0657,6306.1,71432.0,1260.9,0.2380,mem2
80,2024-02-16 15:00:00,0.4478,0.0000,0.5403,0.0839,11916.2,74780.0,3106.9,0.2480,mem2
90,2024-02-17 01:00:00,0.4225,0.0000,0.5500,0.1018,11803.0,77470.0,3115.3,0.2620,mem2
100,2024-02-17 11:00:00,0.4033,0.0000,0.5570,0.1360,30506.7,136752.2,3982.9,0.4440,mem2
110,2024-02-17 21:00:00,0.3852,0.0000,0.5637,0.1672,30096.6,140119.0,3860.1,0.4480,mem2
120,2024-02-18 07:00:00,0.3685,0.0000,0.5700,0.1951,29262.4,137131.8,3704.1,0.4460,mem2
130,2024-02-18 17:00:00,0.3527,0.0000,0.5759,0.2208,29554.2,142570.1,3683.7,0.4520,mem2
140,2024-02-19 03:00:00,0.3379,0.0000,0.5815,0.2443,29059.2,143902.2,3580.9,0.4560,mem2
150,2024-02-19 13:00:00,0.3243,0.0000,0.5865,0.2823,40809.5,202396.2,6528.9,0.6240,mem2
160,2024-02-19 23:00:00,0.3119,0.0000,0.5910,0.3166,41777.8,205477.6,6380.2,0.6260,mem2
170,2024-02-20 09:00:00,0.3004,0.0000,0.5953,0.3476,40495.7,200958.1,6122.3,0.6260,mem2
180,2024-02-20 19:00:00,0.2896,0.0000,0.5993,0.3754,40763.7,204595.2,5987.3,0.6260,mem2
190,2024-02-21 05:00:00,0.2798,0.0000,0.6030,0.4003,40167.7,201387.7,5745.3,0.6240,mem2
200,2024-02-21 15:00:00,0.2712,0.0000,0.6062,0.4264,51975.9,248595.0,5988.2,0.6620,mem2
210,2024-02-22 01:00:00,0.2632,0.0000,0.6093,0.4504,50428.5,245310.3,5825.3,0.6660,mem2
220,2024-02-22 11:00:00,0.2564,0.0000,0.6115,0.4836,52026.5,238328.5,8584.0,0.7820,mem2
230,2024-02-22 21:00:00,0.2502,0.0000,0.6136,0.5134,51569.2,237784.7,8302.9,0.7820,mem2
240,2024-02-23 07:00:00,0.2444,0.0000,0.6155,0.5397,49752.7,229957.6,7967.3,0.7760,mem2
250,2024-02-23 17:00:00,0.2377,0.0000,0.6181,0.5631,48546.7,254603.8,7668.3,0.7740,mem2
260,2024-02-24 03:00:00,0.2314,0.0000,0.6205,0.5844,47269.6,249499.6,7424.7,0.7760,mem2
270,2024-02-24 13:00:00,0.2255,0.0000,0.6228,0.6035,45785.5,243886.9,7124.6,0.7760,mem2
280,2024-02-24 23:00:00,0.2200,0.0000,0.6249,0.6164,45041.4,241860.5,6895.5,0.7320,mem2
290,2024-02-25 09:00:00,0.2144,0.0000,0.6270,0.6392,45507.7,258632.2,8375.7,0.8440,mem2
300,2024-02-25 19:00:00,0.2096,0.0000,0.6289,0.6596,46771.8,257253.6,8147.4,0.8440,mem2
310,2024-02-26 05:00:00,0.2051,0.0000,0.6306,0.6781,45302.5,250449.9,7818.1,0.8440,mem2
320,2024-02-26 15:00:00,0.2008,0.0000,0.6323,0.6947,44156.7,246767.4,7543.4,0.8440,mem2
330,2024-02-27 01:00:00,0.1968,0.0000,0.6338,0.7050,43260.2,244295.2,7269.4,0.7980,mem2
340,2024-02-27 11:00:00,0.1924,0.0000,0.6357,0.7163,43329.9,261976.3,7266.4,0.8180,mem2
350,2024-02-27 21:00:00,0.1882,0.0000,0.6374,0.7267,42341.2,260648.4,7117.6,0.8200,mem2
360,2024-02-28 07:00:00,0.1843,0.0000,0.6391,0.7334,40772.4,251919.8,6822.6,0.7940,mem2
370,2024-02-28 17:00:00,0.1812,0.0000,0.6400,0.7493,42884.3,249797.0,9864.5,0.8920,mem2
380,2024-02-29 03:00:00,0.1783,0.0000,0.6410,0.7633,41508.8,245096.0,9470.2,0.8900,mem2
390,2024-02-29 13:00:00,0.1766,0.0000,0.6413,0.7776,45312.5,243660.0,9766.7,0.9060,mem2
400,2024-02-29 23:00:00,0.1749,0.0000,0.6417,0.7894,44370.9,241716.0,9406.2,0.8960,mem2
410,2024-03-01 09:00:00,0.1732,0.0000,0.6421,0.7995,42297.2,232176.8,8580.0,0.8900,mem2
