step,datetime,corruption_index,dynasty_bonus,welfare,unrest,corr_mass,gov_mass,grv_mass,aggrieved_share,formula
10,2024-02-13 17:00:00,0.3944,0.3500,0.5043,0.0000,488.2,749.6,4.8,0.0000,mem2
20,2024-02-14 03:00:00,0.3891,0.3500,0.5049,0.0002,668.8,1369.0,9.5,0.0020,mem2
30,2024-02-14 13:00:00,0.3775,0.3500,0.5072,0.0004,812.7,2515.3,9.2,0.0020,mem2
40,2024-02-14 23:00:00,0.3659,0.3500,0.5102,0.0005,1132.9,3735.4,8.8,0.0020,mem2
50,2024-02-15 09:00:00,0.3434,0.3500,0.5244,0.0183,5726.6,61769.4,722.5,0.1780,mem2
60,2024-02-15 19:00:00,0.3229,0.3500,0.5374,0.0343,5934.8,62319.3,693.3,0.1780,mem2
70,2024-02-16 05:00:00,0.3042,0.3500,0.5494,0.0486,5970.8,61369.3,665.3,0.1780,mem2
80,2024-02-16 15:00:00,0.2920,0.3500,0.5574,0.0654,11020.5,61772.8,2652.4,0.2160,mem2
90,2024-02-17 01:00:00,0.2811,0.3500,0.5645,0.0814,11595.4,62550.7,2574.5,0.2260,mem2
100,2024-02-17 11:00:00,0.2835,0.3500,0.5651,0.1235,45406.7,100917.6,4143.6,0.5020,mem2
110,2024-02-17 21:00:00,0.2857,0.3500,0.5655,0.1645,45509.8,100576.0,4446.8,0.5340,mem2
120,2024-02-18 07:00:00,0.2877,0.3500,0.5659,0.2005,43946.5,97468.4,4275.9,0.5240,mem2
130,2024-02-18 17:00:00,0.2895,0.3500,0.5663,0.2334,43956.3,97754.9,4274.3,0.5300,mem2
140,2024-02-19 03:00:00,0.2911,0.3500,0.5667,0.2643,43471.8,96724.8,4382.2,0.5420,mem2
150,2024-02-19 13:00:00,0.2952,0.3500,0.5658,0.3073,75385.6,144995.4,7479.7,0.6940,mem2
160,2024-02-19 23:00:00,0.2990,0.3500,0.5650,0.3471,74677.6,143768.7,7516.1,0.7060,mem2
170,2024-02-20 09:00:00,0.3024,0.3500,0.5642,0.3830,72427.2,139294.9,7311.6,0.7060,mem2
180,2024-02-20 19:00:00,0.3057,0.3500,0.5635,0.4165,72032.0,137892.8,7307.2,0.7180,mem2
190,2024-02-21 05:00:00,0.3086,0.3500,0.5628,0.4473,70374.5,135018.7,7328.7,0.7240,mem2
200,2024-02-21 15:00:00,0.3113,0.1500,0.5625,0.4761,99059.8,190723.0,7345.2,0.7360,mem2
210,2024-02-22 01:00:00,0.3136,0.1500,0.5623,0.5027,95914.4,186090.4,7282.1,0.7420,mem2
220,2024-02-22 11:00:00,0.3163,0.1500,0.5615,0.5357,95598.6,179614.0,10211.6,0.8320,mem2
230,2024-02-22 21:00:00,0.3187,0.1500,0.5608,0.5663,93198.7,175913.8,10331.1,0.8420,mem2
240,2024-02-23 07:00:00,0.3209,0.1500,0.5601,0.5937,89612.8,169453.0,10000.9,0.8400,mem2
250,2024-02-23 17:00:00,0.3246,0.1500,0.5588,0.6207,105986.0,182631.3,10136.9,0.8640,mem2
260,2024-02-24 03:00:00,0.3278,0.1500,0.5577,0.6452,102272.0,178491.9,9881.3,0.8660,mem2
270,2024-02-24 13:00:00,0.3305,0.1500,0.5568,0.6673,98533.7,173458.5,9513.9,0.8660,mem2
280,2024-02-24 23:00:00,0.3327,0.1500,0.5560,0.6834,95297.0,170837.5,9357.3,0.8280,mem2
290,2024-02-25 09:00:00,0.3375,0.1500,0.5539,0.7048,117762.1,182567.4,12687.1,0.8980,mem2
300,2024-02-25 19:00:00,0.3418,0.1500,0.5520,0.7242,115645.9,179502.9,12446.2,0.8980,mem2
310,2024-02-26 05:00:00,0.3457,0.1500,0.5503,0.7415,111373.1,174032.0,12005.6,0.8980,mem2
320,2024-02-26 15:00:00,0.3490,0.1500,0.5488,0.7574,107504.1,169837.3,11688.4,0.9000,mem2
330,2024-02-27 01:00:00,0.3518,0.1500,0.5476,0.7704,103509.0,166269.6,11390.2,0.8880,mem2
340,2024-02-27 11:00:00,0.3563,0.1500,0.5456,0.7850,121693.4,176270.6,11989.0,0.9160,mem2
350,2024-02-27 21:00:00,0.3601,0.1500,0.5439,0.7983,117586.0,173684.2,11650.6,0.9180,mem2
360,2024-02-28 07:00:00,0.3635,0.1500,0.5424,0.8093,112993.0,167535.7,11243.5,0.9080,mem2
370,2024-02-28 17:00:00,0.3668,0.1500,0.5408,0.8235,112204.5,165146.9,14417.0,0.9520,mem2
380,2024-02-29 03:00:00,0.3696,0.1500,0.5393,0.8364,108056.6,161263.4,13893.6,0.9520,mem2
390,2024-02-29 13:00:00,0.3749,0.1500,0.5368,0.8471,127377.5,164298.3,13692.6,0.9440,mem2
400,2024-02-29 23:00:00,0.3794,0.1500,0.5347,0.8562,122623.5,161866.4,13224.9,0.9380,mem2
410,2024-03-01 09:00:00,0.3834,0.1500,0.5328,0.8644,117436.5,155976.4,12249.9,0.9380,mem2
420,2024-03-01 19:00:00,0.3865,0.1500,0.5314,0.8716,112674.2,154538.6,11829.2,0.9360,mem2
