34201, Barangay Mabuhay, Municipal Hall, office, mayor's desk
34202, Barangay Mabuhay, Municipal Hall, council room, council table
34203, Barangay Mabuhay, Barangay Hall, office, captain's desk
34204, Barangay Mabuhay, Audit Office, office, auditor's desk
34205, Barangay Mabuhay, Police Station, station, officer's desk
34206, Barangay Mabuhay, School, classroom, teacher's desk
34207, Barangay Mabuhay, Church, chapel, altar
34208, Barangay Mabuhay, Farm Area, field, crop field
34209, Barangay Mabuhay, Public Market, stall, vendor stall
34210, Barangay Mabuhay, Media Office, newsroom, journalist's desk
34211, Barangay Mabuhay, Health Center, clinic, nurse's station
34212, Barangay Mabuhay, Contractor Office, office, contractor's desk
34213, Barangay Mabuhay, Plaza, park, park bench
34215, Barangay Mabuhay, Plaza, park, basketball court
34214, Barangay Mabuhay, Residential Zone A, home, bed
