34301, Barangay Mabuhay, Municipal Hall, office, Municipal Hall spawn
34302, Barangay Mabuhay, Barangay Hall, office, Barangay Hall spawn
34303, Barangay Mabuhay, Audit Office, office, Audit Office spawn
34304, Barangay Mabuhay, Police Station, station, Police Station spawn
34305, Barangay Mabuhay, School, classroom, School spawn
34306, Barangay Mabuhay, Church, chapel, Church spawn
34307, Barangay Mabuhay, Residential Zone A, home, Residential Zone A spawn
34308, Barangay Mabuhay, Farm Area, field, Farm Area spawn
34309, Barangay Mabuhay, Public Market, stall, Public Market spawn
34310, Barangay Mabuhay, Media Office, newsroom, Media Office spawn
34311, Barangay Mabuhay, Health Center, clinic, Health Center spawn
34312, Barangay Mabuhay, Contractor Office, office, Contractor Office spawn
34313, Barangay Mabuhay, Residential Zone B, home, Residential Zone B spawn
34314, Barangay Mabuhay, Residential Zone C, home, Residential Zone C spawn
34315, Barangay Mabuhay, Plaza, park, Plaza spawn
