18,Barangay Mabuhay,Residential A,Mansion Interior
17,Barangay Mabuhay,Residential A,Garden
16,Barangay Mabuhay,Residential A,Garage
15,Barangay Mabuhay,Residential B,House Interior
14,Barangay Mabuhay,Residential B,Backyard
79,Barangay Mabuhay,Residential C,Shanty Interior
23,Barangay Mabuhay,Market,Vegetable Stall
33,Barangay Mabuhay,Market,Meat Stall
43,Barangay Mabuhay,Market,Dry Goods Stall
53,Barangay Mabuhay,Market,Fish Stall
73,Barangay Mabuhay,Market,Central Market
21,Barangay Mabuhay,Municipal Hall,Mayor's Office
41,Barangay Mabuhay,Municipal Hall,Council Chamber
1,Barangay Mabuhay,Municipal Hall,Procurement Office
11,Barangay Mabuhay,Municipal Hall,Treasury
51,Barangay Mabuhay,Municipal Hall,Planning Room
31,Barangay Mabuhay,Municipal Hall,Records Room
71,Barangay Mabuhay,Municipal Hall,Lobby
25,Barangay Mabuhay,Barangay Hall,Captain's Office
35,Barangay Mabuhay,Barangay Hall,Meeting Room
45,Barangay Mabuhay,Barangay Hall,Records Office
55,Barangay Mabuhay,Barangay Hall,Treasurer's Office
75,Barangay Mabuhay,Barangay Hall,Waiting Area
44,Barangay Mabuhay,School,Classroom
54,Barangay Mabuhay,School,Library
74,Barangay Mabuhay,School,Playground
46,Barangay Mabuhay,Health Center,Consultation Room
56,Barangay Mabuhay,Health Center,Treatment Room
76,Barangay Mabuhay,Health Center,Pharmacy
38,Barangay Mabuhay,Construction Site,Cement Mixing Area
48,Barangay Mabuhay,Construction Site,Scaffolding Area
58,Barangay Mabuhay,Construction Site,Storage Shed
78,Barangay Mabuhay,Construction Site,Inspection Zone
37,Barangay Mabuhay,Factory Zone,Assembly Line
47,Barangay Mabuhay,Factory Zone,Storage Warehouse
57,Barangay Mabuhay,Factory Zone,Loading Dock
77,Barangay Mabuhay,Factory Zone,Supervisor’s Office
6,Barangay Mabuhay,Road Network,Main Road
7,Barangay Mabuhay,Road Network,Residential Road
8,Barangay Mabuhay,Road Network,Central Plaza
32,Barangay Mabuhay,Police Station,Chief's Office
42,Barangay Mabuhay,Police Station,Holding Cell
52,Barangay Mabuhay,Police Station,Evidence Room
72,Barangay Mabuhay,Police Station,Reception Desk
30,Barangay Mabuhay,Media CSO Node,Broadcast Studio
40,Barangay Mabuhay,Media CSO Node,Editing Room
50,Barangay Mabuhay,Media CSO Node,Office Cubicles
70,Barangay Mabuhay,Media CSO Node,CSO Meeting Hall
