step,datetime,corruption_index,dynasty_bonus,welfare,unrest
10,2024-02-13 17:00:00,0.6289,0.0000,0.4743,0.4877
20,2024-02-14 03:00:00,0.6289,0.0000,0.4583,0.4883
30,2024-02-14 13:00:00,0.8832,0.3000,0.4367,0.5050
40,2024-02-14 23:00:00,0.8832,0.3000,0.4168,0.5208
50,2024-02-15 09:00:00,0.8562,0.3000,0.4093,0.5337
60,2024-02-15 19:00:00,0.8562,0.3000,0.3923,0.5460
70,2024-02-16 05:00:00,0.8562,0.3000,0.3767,0.5577
80,2024-02-16 15:00:00,0.8562,0.3000,0.3623,0.5688
90,2024-02-17 01:00:00,0.8562,0.3000,0.3491,0.5794
100,2024-02-17 11:00:00,0.8962,0.3000,0.3606,0.5908
110,2024-02-17 21:00:00,0.8962,0.3000,0.3464,0.6016
120,2024-02-18 07:00:00,0.8962,0.3000,0.3334,0.6119
130,2024-02-18 17:00:00,0.8962,0.3000,0.3214,0.6216
140,2024-02-19 03:00:00,0.8962,0.3000,0.3103,0.6308
150,2024-02-19 13:00:00,0.9262,0.3000,0.3177,0.6406
160,2024-02-19 23:00:00,0.9262,0.3000,0.3061,0.6499
170,2024-02-20 09:00:00,0.9262,0.3000,0.2955,0.6586
180,2024-02-20 19:00:00,0.9262,0.3000,0.2857,0.6669
190,2024-02-21 05:00:00,0.9262,0.3000,0.2766,0.6747
200,2024-02-21 15:00:00,0.4096,0.0000,0.2982,0.6499
210,2024-02-22 01:00:00,0.4096,0.0000,0.3024,0.6274
220,2024-02-22 11:00:00,0.4959,0.0500,0.3039,0.6123
230,2024-02-22 21:00:00,0.4959,0.0500,0.3052,0.5986
240,2024-02-23 07:00:00,0.4959,0.0500,0.3065,0.5862
250,2024-02-23 17:00:00,0.5459,0.0500,0.3063,0.5781
260,2024-02-24 03:00:00,0.5459,0.0500,0.3061,0.5708
270,2024-02-24 13:00:00,0.5459,0.0500,0.3059,0.5642
280,2024-02-24 23:00:00,0.5459,0.0500,0.3057,0.5583
290,2024-02-25 09:00:00,0.5959,0.0500,0.3042,0.5561
300,2024-02-25 19:00:00,0.5959,0.0500,0.3028,0.5541
310,2024-02-26 05:00:00,0.5959,0.0500,0.3015,0.5524
320,2024-02-26 15:00:00,0.5959,0.0500,0.3003,0.5509
330,2024-02-27 01:00:00,0.5959,0.0500,0.2992,0.5496
340,2024-02-27 11:00:00,0.5629,0.0500,0.3322,0.5451
350,2024-02-27 21:00:00,0.5629,0.0500,0.3294,0.5412
360,2024-02-28 07:00:00,0.5629,0.0500,0.3269,0.5378
370,2024-02-28 17:00:00,0.5629,0.0500,0.3246,0.5348
380,2024-02-29 03:00:00,0.5629,0.0500,0.3225,0.5322
390,2024-02-29 13:00:00,0.5809,0.0500,0.3504,0.5298
400,2024-02-29 23:00:00,0.5809,0.0500,0.3457,0.5278
410,2024-03-01 09:00:00,0.5809,0.0500,0.3413,0.5263
420,2024-03-01 19:00:00,0.5809,0.0500,0.3374,0.5250
430,2024-03-02 05:00:00,0.5809,0.0500,0.3337,0.5240
440,2024-03-02 15:00:00,0.5789,0.0500,0.3681,0.5216
450,2024-03-03 01:00:00,0.5789,0.0500,0.3621,0.5197
460,2024-03-03 11:00:00,0.5789,0.0500,0.3565,0.5182
470,2024-03-03 21:00:00,0.5789,0.0500,0.3514,0.5171
480,2024-03-04 07:00:00,0.5789,0.0500,0.3467,0.5162
490,2024-03-04 17:00:00,0.5589,0.0500,0.3925,0.5124
500,2024-03-05 03:00:00,0.5589,0.0500,0.3851,0.5093
510,2024-03-05 13:00:00,0.5589,0.0500,0.3782,0.5068
520,2024-03-05 23:00:00,0.5589,0.0500,0.3719,0.5048
530,2024-03-06 09:00:00,0.5489,0.0500,0.3912,0.5016
540,2024-03-06 19:00:00,0.5489,0.0500,0.3841,0.4990
550,2024-03-07 05:00:00,0.5489,0.0500,0.3776,0.4969
560,2024-03-07 15:00:00,0.5489,0.0500,0.3716,0.4953
570,2024-03-08 01:00:00,0.5489,0.0500,0.3661,0.4940
580,2024-03-08 11:00:00,0.5409,0.0500,0.3852,0.4917
590,2024-03-08 21:00:00,0.5409,0.0500,0.3788,0.4898
600,2024-03-09 07:00:00,0.5409,0.0500,0.3729,0.4884
610,2024-03-09 17:00:00,0.5409,0.0500,0.3675,0.4873
620,2024-03-10 03:00:00,0.5409,0.0500,0.3626,0.4865
630,2024-03-10 13:00:00,0.5139,0.0500,0.3827,0.4834
640,2024-03-10 23:00:00,0.5139,0.0500,0.3772,0.4808
650,2024-03-11 09:00:00,0.5139,0.0500,0.3722,0.4787
660,2024-03-11 19:00:00,0.5139,0.0500,0.3676,0.4769
670,2024-03-12 05:00:00,0.5139,0.0500,0.3634,0.4755
680,2024-03-12 15:00:00,0.5279,0.0500,0.3987,0.4737
690,2024-03-13 01:00:00,0.5279,0.0500,0.3916,0.4723
700,2024-03-13 11:00:00,0.5279,0.0500,0.3850,0.4714
710,2024-03-13 21:00:00,0.5279,0.0500,0.3790,0.4707
