step,datetime,corruption_index,dynasty_bonus,welfare,unrest
10,2024-02-13 17:00:00,0.8832,0.3000,0.4673,0.6430
20,2024-02-14 03:00:00,0.8832,0.3000,0.4449,0.6439
30,2024-02-14 13:00:00,0.8832,0.3000,0.4243,0.6455
40,2024-02-14 23:00:00,0.8832,0.3000,0.4054,0.6478
50,2024-02-15 09:00:00,0.8792,0.3000,0.4194,0.6490
60,2024-02-15 19:00:00,0.8792,0.3000,0.4009,0.6508
70,2024-02-16 05:00:00,0.8792,0.3000,0.3840,0.6531
80,2024-02-16 15:00:00,0.8792,0.3000,0.3684,0.6558
90,2024-02-17 01:00:00,0.8792,0.3000,0.3540,0.6588
100,2024-02-17 11:00:00,0.8692,0.3000,0.3660,0.6604
110,2024-02-17 21:00:00,0.8692,0.3000,0.3521,0.6625
120,2024-02-18 07:00:00,0.8692,0.3000,0.3393,0.6648
130,2024-02-18 17:00:00,0.8692,0.3000,0.3276,0.6674
140,2024-02-19 03:00:00,0.8692,0.3000,0.3168,0.6701
150,2024-02-19 13:00:00,0.8982,0.3000,0.3226,0.6741
160,2024-02-19 23:00:00,0.8982,0.3000,0.3114,0.6781
170,2024-02-20 09:00:00,0.8982,0.3000,0.3011,0.6822
180,2024-02-20 19:00:00,0.8982,0.3000,0.2916,0.6862
190,2024-02-21 05:00:00,0.8982,0.3000,0.2829,0.6901
200,2024-02-21 15:00:00,0.5149,0.0500,0.2909,0.6704
210,2024-02-22 01:00:00,0.5149,0.0500,0.2928,0.6525
220,2024-02-22 11:00:00,0.5149,0.0500,0.2945,0.6364
230,2024-02-22 21:00:00,0.5149,0.0500,0.2961,0.6218
240,2024-02-23 07:00:00,0.5149,0.0500,0.2976,0.6086
250,2024-02-23 17:00:00,0.5469,0.0500,0.3035,0.5984
260,2024-02-24 03:00:00,0.5469,0.0500,0.3035,0.5892
270,2024-02-24 13:00:00,0.5469,0.0500,0.3035,0.5810
280,2024-02-24 23:00:00,0.5469,0.0500,0.3035,0.5736
290,2024-02-25 09:00:00,0.5299,0.0500,0.3325,0.5647
300,2024-02-25 19:00:00,0.5299,0.0500,0.3306,0.5568
310,2024-02-26 05:00:00,0.5299,0.0500,0.3289,0.5497
320,2024-02-26 15:00:00,0.5299,0.0500,0.3273,0.5435
330,2024-02-27 01:00:00,0.5299,0.0500,0.3259,0.5379
340,2024-02-27 11:00:00,0.5349,0.0500,0.3401,0.5326
350,2024-02-27 21:00:00,0.5349,0.0500,0.3375,0.5279
360,2024-02-28 07:00:00,0.5349,0.0500,0.3351,0.5238
370,2024-02-28 17:00:00,0.5349,0.0500,0.3329,0.5202
380,2024-02-29 03:00:00,0.5349,0.0500,0.3308,0.5170
390,2024-02-29 13:00:00,0.5199,0.0500,0.3745,0.5116
400,2024-02-29 23:00:00,0.5199,0.0500,0.3695,0.5068
410,2024-03-01 09:00:00,0.5199,0.0500,0.3650,0.5027
420,2024-03-01 19:00:00,0.5199,0.0500,0.3608,0.4992
430,2024-03-02 05:00:00,0.5199,0.0500,0.3569,0.4962
440,2024-03-02 15:00:00,0.5349,0.0500,0.3530,0.4946
450,2024-03-03 01:00:00,0.5349,0.0500,0.3494,0.4932
460,2024-03-03 11:00:00,0.5349,0.0500,0.3460,0.4922
470,2024-03-03 21:00:00,0.5349,0.0500,0.3429,0.4913
480,2024-03-04 07:00:00,0.5349,0.0500,0.3401,0.4907
490,2024-03-04 17:00:00,0.5189,0.0500,0.3793,0.4876
500,2024-03-05 03:00:00,0.5189,0.0500,0.3740,0.4850
510,2024-03-05 13:00:00,0.5189,0.0500,0.3691,0.4828
520,2024-03-05 23:00:00,0.5189,0.0500,0.3647,0.4811
530,2024-03-06 09:00:00,0.4909,0.0500,0.3917,0.4768
540,2024-03-06 19:00:00,0.4909,0.0500,0.3861,0.4731
550,2024-03-07 05:00:00,0.4909,0.0500,0.3811,0.4700
560,2024-03-07 15:00:00,0.4909,0.0500,0.3764,0.4674
570,2024-03-08 01:00:00,0.4909,0.0500,0.3721,0.4652
580,2024-03-08 11:00:00,0.5059,0.0500,0.3677,0.4644
590,2024-03-08 21:00:00,0.5059,0.0500,0.3637,0.4637
600,2024-03-09 07:00:00,0.5059,0.0500,0.3600,0.4633
610,2024-03-09 17:00:00,0.5059,0.0500,0.3566,0.4631
620,2024-03-10 03:00:00,0.5059,0.0500,0.3535,0.4630
630,2024-03-10 13:00:00,0.5559,0.0500,0.3492,0.4661
640,2024-03-10 23:00:00,0.5559,0.0500,0.3453,0.4690
650,2024-03-11 09:00:00,0.5559,0.0500,0.3417,0.4718
660,2024-03-11 19:00:00,0.5559,0.0500,0.3384,0.4744
670,2024-03-12 05:00:00,0.5559,0.0500,0.3353,0.4769
680,2024-03-12 15:00:00,0.5309,0.0500,0.3443,0.4773
690,2024-03-13 01:00:00,0.5309,0.0500,0.3414,0.4778
700,2024-03-13 11:00:00,0.5309,0.0500,0.3388,0.4783
